#SampleID	emp_cr_gg_13_8.summary.txt.tsv	emp_cr_silva_16S_123.summary.txt.tsv	emp_or_gg_13_8.summary.txt.tsv	emp.90.min25.deblur.withtax.onlytree.summary.txt.tsv	emp.100.min25.deblur.withtax.onlytree.summary.txt.tsv	emp.150.min25.deblur.withtax.onlytree.summary.txt.tsv
1024.SH005.C3.RH.2.46.rhizo.6.11.G1.L00	3703.0	4029.0	5460.0	3169.0	3071.0	2282.0
1024.SH005.C3.RH.2.47.root.6.11.G1.L00	5053.0	5477.0	6798.0	4000.0	3929.0	3340.0
1024.SH005.C3.RH.3.173.flw.6.11.G1.L00	4121.0	4107.0	4324.0	3334.0	3289.0	2864.0
1024.SH005.C3.RH.3.261.bulk.9.11.G1.L00	4308.0	4699.0	5961.0	2831.0	2721.0	1993.0
1024.SH005.C3.RH.3.262.rhizo.9.11.G1.L00	3100.0	3378.0	4555.0	2213.0	2111.0	1510.0
1024.SH005.C3.RH.3.263.root.9.11.G1.L00	6010.0	6361.0	7928.0	4297.0	4212.0	3527.0
1024.SH005.C3.RH.3.50.rhizo.6.11.G1.L00	4262.0	4645.0	6150.0	3263.0	3116.0	2337.0
1024.SH005.C3.RH.4.174.flw.6.11.G1.L00	5024.0	4998.0	5455.0	3845.0	3769.0	3041.0
1024.SH005.C3.RH.4.266.bulk.9.11.G1.L00	5387.0	5789.0	7397.0	3633.0	3572.0	2690.0
1024.SH005.C3.RH.4.267.rhizo.9.11.G1.L00	2500.0	2710.0	3492.0	1567.0	1492.0	998.0
1024.SH005.C3.RH.4.466.bulk.4.12.G1.L00	7437.0	8180.0	10339.0	5419.0	5361.0	4221.0
1024.SH005.C3.RH.4.53.bulk.6.11.G1.L00	4760.0	5168.0	6677.0	3156.0	3039.0	2153.0
1024.SH005.C3.RH.5.175.flw.6.11.G1.L00	1413.0	1413.0	1511.0	1243.0	1226.0	991.0
1024.SH005.C3.RH.5.271.bulk.9.11.G1.L00	6479.0	7045.0	9174.0	4440.0	4322.0	3227.0
1024.SH005.C3.RH.5.272.rhizo.9.11.G1.L00	4555.0	4961.0	6626.0	3261.0	3151.0	2391.0
1024.SH005.C3.RH.5.57.bulk.6.11.G1.L00	7199.0	7778.0	9969.0	5084.0	4957.0	3852.0
1024.SH005.C3.RH.5.58.rhizo.6.11.G1.L00	2855.0	3115.0	4227.0	2058.0	1988.0	1419.0
1024.SH007.C6.RH.1.181.flw.6.11.G1.L00	6468.0	6466.0	6923.0	4708.0	4636.0	4189.0
1024.SH007.C6.RH.1.301.bulk.9.11.G1.L00	5869.0	6263.0	8071.0	3916.0	3842.0	2939.0
1024.SH007.C6.RH.1.302.rhizo.9.11.G1.L00	3752.0	4020.0	5104.0	2341.0	2241.0	1611.0
1024.SH007.C6.RH.1.82.rhizo.6.11.G1.L00	4545.0	4857.0	6205.0	2942.0	2807.0	1994.0
1024.SH007.C6.RH.1.83.root.6.11.G1.L00	5554.0	5957.0	7043.0	4044.0	3948.0	3390.0
1024.SH007.C6.RH.2.182.flw.6.11.G1.L00	2950.0	2946.0	3174.0	2119.0	2081.0	1964.0
1024.SH007.C6.RH.2.306.bulk.9.11.G1.L00	5764.0	6196.0	8012.0	3895.0	3814.0	2837.0
1024.SH007.C6.RH.2.307.rhizo.9.11.G1.L00	2872.0	3089.0	3935.0	1759.0	1669.0	1149.0
1024.SH007.C6.RH.2.85.bulk.6.11.G1.L00	6785.0	7241.0	9276.0	4454.0	4387.0	3380.0
1024.SH007.C6.RH.2.86.rhizo.6.11.G1.L00	3210.0	3446.0	4662.0	2654.0	2580.0	1946.0
1024.SH007.C6.RH.2.88.leav.6.11.Gilbert.Merlot.miseq.S0.L001.001				0.0	0.0	0.0
1024.SH007.C6.RH.3.183.flw.6.11.G1.L00	4464.0	4470.0	4816.0	3433.0	3364.0	2616.0
1024.SH007.C6.RH.3.311.root.9.11.G1.L00	7496.0	8066.0	10449.0	5096.0	4935.0	3705.0
1024.SH007.C6.RH.3.312.rhizo.9.11.G1.L00	4144.0	4456.0	6129.0	3057.0	2964.0	2090.0
1024.SH007.C6.RH.3.313.bulk.9.11.G1.L00	5063.0	5470.0	7066.0	3984.0	3937.0	3310.0
1024.SH007.C6.RH.3.89.bulk.6.11.G1.L00	4649.0	4981.0	6415.0	2970.0	2860.0	2088.0
1024.SH007.C6.RH.3.90.rhizo.6.11.G1.L00	4960.0	5342.0	6921.0	3412.0	3316.0	2406.0
1024.SH007.C6.RH.3.91.root.6.11.G1.L00	4898.0	5110.0	6247.0	3581.0	3493.0	2961.0
1024.SH007.C6.RH.4.184.flw.6.11.G1.L00	4959.0	4944.0	5193.0	3684.0	3601.0	3258.0
1024.SH007.C6.RH.4.316.bulk.9.11.G1.L00	5669.0	6080.0	7752.0	3774.0	3650.0	2861.0
1024.SH007.C6.RH.4.317.rhizo.9.11.G1.L00	4403.0	4765.0	6169.0	2834.0	2727.0	1912.0
1024.SH007.C6.RH.4.93.bulk.6.11.G1.L00	5190.0	5537.0	6998.0	3319.0	3220.0	2440.0
1024.SH007.C6.RH.4.94.rhizo.6.11.G1.L00	3814.0	4112.0	5382.0	2603.0	2515.0	1824.0
1024.SH007.C6.RH.5.185.flw.6.11.G1.L00	7666.0	7675.0	8105.0	6486.0	6396.0	5224.0
1024.SH007.C6.RH.5.321.bulk.9.11.G1.L00	6231.0	6688.0	8569.0	4267.0	4142.0	3190.0
