#SampleID	split-libraries	adaptor-clean-up	cr_silva_seqs	cr_gg_seqs	or_gg_seqs	deblur_100nt_seqs	deblur_150nt_seqs
550.L1S352.s.1.sequence	48853	48853	47692	47478	48800	32352	1198
550.L1S353.s.1.sequence	44063	44063	43592	43449	44010	29264	2969
550.L1S354.s.1.sequence	35481	35481	34973	34831	35441	24058	991
550.L1S355.s.1.sequence	56927	56927	55629	55243	56839	37669	1891
550.L1S356.s.1.sequence	47625	47625	46757	46522	47569	32279	1054
550.L1S357.s.1.sequence	38403	38403	37644	37428	38380	25708	940
550.L1S358.s.1.sequence	42400	42400	41592	41434	42348	28014	1087
550.L1S359.s.1.sequence	41563	41563	40815	40704	41531	28395	912
550.L1S36.s.1.sequence	35285	35285	34522	34239	35252	24396	1295
550.L1S360.s.1.sequence	45094	45094	44311	44129	45051	31295	947
550.L1S361.s.1.sequence	47721	47721	46583	46453	47680	32236	934
550.L1S362.s.1.sequence	39460	39460	38462	38362	39401	26251	1008
550.L1S363.s.1.sequence	47003	47003	45829	45595	46921	30975	1772
550.L1S364.s.1.sequence	43656	43656	42550	42405	43599	28903	1113
550.L1S365.s.1.sequence	37242	37242	36398	36202	37158	24304	1855
550.L1S366.s.1.sequence	41436	41436	40373	40148	41366	27292	1281
550.L1S367.s.1.sequence	51901	51901	50483	50205	51821	33489	1963
550.L1S368.s.1.sequence	40248	40248	39265	39078	40198	26366	1116
550.L1S369.s.1.sequence	42800	42800	41655	41396	42701	27314	2769
550.L1S37.s.1.sequence	39105	39105	37737	37245	39018	25737	1389
550.L1S370.s.1.sequence	33314	33314	33076	32963	33271	22264	2292
550.L1S371.s.1.sequence	35784	35784	35211	35055	35754	24369	544
550.L1S372.s.1.sequence	15564	15564	15425	15355	15547	10740	768
550.L1S374.s.1.sequence	20026	20026	19722	19563	20009	13562	598
550.L1S375.s.1.sequence	27703	27703	27132	26942	27673	18981	698
550.L1S376.s.1.sequence	49539	49539	48327	48071	49453	32700	1392
550.L1S378.s.1.sequence	36902	36902	36035	35857	36805	24285	2301
550.L1S379.s.1.sequence	23109	23109	22647	22476	23086	15916	548
550.L1S38.s.1.sequence	35099	35099	34032	33690	35034	23477	1315
550.L1S380.s.1.sequence	36936	36936	35961	35739	36884	24616	902
550.L1S381.s.1.sequence	44657	44657	43575	43202	44607	30562	811
550.L1S382.s.1.sequence	43652	43652	42707	42341	43608	29579	854
550.L1S383.s.1.sequence	45360	45360	44142	43893	45287	29543	1343
550.L1S39.s.1.sequence	33661	33661	32666	32298	33592	23126	1156
550.L1S4.s.1.sequence	21812	21812	21402	21232	21791	15159	377
550.L1S40.s.1.sequence	37378	37378	36155	35635	37323	24843	1240
550.L1S41.s.1.sequence	53271	53271	51853	51225	53180	35514	1319
550.L1S42.s.1.sequence	45987	45987	44793	44319	45915	31218	1503
550.L1S43.s.1.sequence	35728	35728	34751	34327	35664	23865	677
550.L1S44.s.1.sequence	39130	39130	38025	37637	39035	25323	1504
550.L1S45.s.1.sequence	34905	34905	33971	33559	34846	23317	934
550.L1S46.s.1.sequence	33246	33246	32132	31760	33170	21708	1270
550.L1S47.s.1.sequence	22768	22768	22292	22044	22735	15595	520
550.L1S48.s.1.sequence	31492	31492	30650	30323	31451	20635	799
550.L1S49.s.1.sequence	36081	36081	35006	34602	36027	23806	851
550.L1S5.s.1.sequence	29125	29125	28548	28287	29074	19701	679
550.L1S50.s.1.sequence	33741	33741	33053	32671	33695	22615	697
550.L1S51.s.1.sequence	27312	27312	26749	26474	27272	18541	632
550.L1S52.s.1.sequence	32359	32359	31521	31338	32317	21686	727
550.L1S53.s.1.sequence	35492	35492	34730	34338	35445	23866	723
550.L1S54.s.1.sequence	32654	32654	32037	31776	32619	21822	801
550.L1S55.s.1.sequence	29815	29815	29099	28793	29778	20011	925
550.L1S56.s.1.sequence	31974	31974	31142	30737	31929	21675	676
550.L1S57.s.1.sequence	42746	42746	41400	41030	42647	28081	1660
550.L1S58.s.1.sequence	29870	29870	28854	28552	29808	19791	957
550.L1S59.s.1.sequence	33637	33637	32706	32369	33579	22556	800
550.L1S6.s.1.sequence	23160	23160	22598	22383	23127	15352	483
550.L1S60.s.1.sequence	35643	35643	34430	34095	35573	23366	850
550.L1S61.s.1.sequence	32132	32132	31254	30971	32075	20269	1240
550.L1S62.s.1.sequence	31084	31084	30225	29764	31033	20684	674
550.L1S63.s.1.sequence	23977	23977	23270	23023	23935	15932	678
550.L1S64.s.1.sequence	46080	46080	45034	44524	46017	31290	1227
550.L1S65.s.1.sequence	35127	35127	34214	33773	35063	23410	1159
550.L1S66.s.1.sequence	35920	35920	34998	34594	35869	23940	867
550.L1S67.s.1.sequence	33696	33696	32928	32517	33646	22636	765
550.L1S68.s.1.sequence	33412	33412	32626	32304	33356	22329	911
550.L1S69.s.1.sequence	30407	30407	29849	29556	30374	20624	484
550.L1S7.s.1.sequence	21976	21976	21567	21386	21949	15161	389
550.L1S70.s.1.sequence	30814	30814	30116	29673	30800	20990	372
550.L1S71.s.1.sequence	33792	33792	32953	32505	33762	22563	654
550.L1S72.s.1.sequence	39255	39255	38253	37818	39205	26229	865
550.L1S73.s.1.sequence	36869	36869	36133	35700	36843	25121	426
550.L1S74.s.1.sequence	37965	37965	37153	36622	37930	25386	498
550.L1S75.s.1.sequence	31955	31955	31270	31003	31919	21172	737
550.L1S76.s.1.sequence	38331	38331	37433	37059	38297	25565	889
550.L1S77.s.1.sequence	36244	36244	35575	35237	36208	24463	721
550.L1S78.s.1.sequence	30853	30853	30291	29911	30821	21107	574
550.L1S79.s.1.sequence	28569	28569	27791	27576	28514	18600	688
550.L1S8.s.1.sequence	35574	35574	34949	34543	35537	24448	751
550.L1S80.s.1.sequence	45523	45523	44452	43762	45448	30502	1112
550.L1S81.s.1.sequence	27937	27937	27753	27682	27928	20340	846
550.L1S82.s.1.sequence	28209	28209	27471	27257	28157	18424	602
550.L1S83.s.1.sequence	33871	33871	33073	32766	33813	22606	1014
550.L1S84.s.1.sequence	39294	39294	38407	37975	39230	26299	1078
550.L1S85.s.1.sequence	42713	42713	41604	41021	42645	28514	1028
550.L1S86.s.1.sequence	47449	47449	46472	45892	47385	32306	819
550.L1S87.s.1.sequence	37791	37791	36890	36478	37758	25044	898
550.L1S88.s.1.sequence	36090	36090	35343	34782	36041	24557	631
550.L1S89.s.1.sequence	40084	40084	39183	38651	40031	26561	813
550.L1S9.s.1.sequence	34639	34639	33899	33429	34593	23843	755
550.L1S90.s.1.sequence	28358	28358	27539	27197	28300	18332	608
550.L1S91.s.1.sequence	26872	26872	26400	26071	26850	18210	550
550.L1S92.s.1.sequence	36053	36053	35237	34863	36004	23943	788
550.L1S93.s.1.sequence	31544	31544	31116	30922	31513	21116	514
550.L1S94.s.1.sequence	33231	33231	32506	32159	33184	21842	717
550.L1S95.s.1.sequence	34778	34778	33906	33543	34736	23171	879
550.L1S97.s.1.sequence	44733	44733	43519	43072	44658	29837	1428
550.L1S98.s.1.sequence	38072	38072	36991	36569	38021	25325	932
550.L1S99.s.1.sequence	30903	30903	30285	30016	30878	20733	725
550.L2S1.s.2.sequence	41352	41352	40497	40246	41304	31138	431
550.L2S10.s.2.sequence	23824	23824	23657	23631	23804	18384	1361
550.L2S100.s.2.sequence	21859	21859	21340	21211	21797	14523	851
550.L2S101.s.2.sequence	17265	17265	16571	16390	17212	11789	497
550.L2S102.s.2.sequence	18199	18199	17654	17459	18105	11607	683
550.L2S103.s.2.sequence	16954	16954	16107	15824	16870	11238	465
550.L2S104.s.2.sequence	22972	22972	22680	22589	22959	17469	868
550.L2S105.s.2.sequence	22398	22398	21747	21568	22329	14810	923
550.L2S106.s.2.sequence	17441	17441	16875	16530	17368	11721	470
550.L2S107.s.2.sequence	16712	16712	16193	16005	16644	10950	537
