SampleID	Number of novel OTUs	Percent novel sequences
T.2.3.H.E.3.479745	14660	74.136022915387912
Halls1R1.603155	14647	57.34238101077819
N.2.3.H.E.4.479684	14635	62.805250749483363
N.2.2.H.E.2.479580	14630	65.586731863836903
571.538661	14623	65.090044720196602
575.538744	14620	61.351826528618872
769.538560	14590	51.511058399771578
T.1.1.H.E.2.479849	14529	78.456146822835009
N.2.2.S.E.1.479632	14522	79.266502667123547
Stillton0R3.603134	14501	56.414987062113461
560.538701	14498	61.645493042952204
MF1.414846	14487	35.422375540749194
FRX6.120710.1.608863	14480	47.947504590839138
IC2.S1.L3.608781	14457	18.082775137780263
BbD.479792	14451	47.129620231138439
N.2.1.S.E.1.479679	14423	74.602096971440901
ME19Sep05EB2R2.486636	14416	27.231662411108065
W.3.2.S.E.2.479939	14410	77.144141329430653
HCanyon3R1.603141	14410	63.255406548266279
CL3.4.378649	14403	41.458099971996639
W.1.1.S.E.5.479914	14403	81.488431558543326
481.538553	14401	49.210731046251915
SSBH05July07.617767	14395	65.490577518398595
T.3.2.S.E.4.479931	14392	74.148307918358128
B.N.21.1.414778	14383	47.347034760352635
ME15Jul10EB1R1.486618	14378	32.12699119422183
SBS1.OM2C0.ORG.414817	14332	38.430462922489042
ME08Sep03EB1R1.486607	14319	32.568915542228886
AQC1cm.7.378625	14294	53.550232030808921
Halls0R1.603177	14274	53.379295499255555
386.538603	14271	62.132107023411379
421.538801	14264	51.056586975307027
CH1.414839	14244	41.367466012848908
SBS3.REF.MIN.414815	14235	38.969990348884039
W.1.2.S.E.4.479688	14226	80.371448753510336
P.Abraao.HA.488590	14214	31.957115009746591
NZFACE.R4.control.19.8.604758	14211	33.51316805139399
ME02Oct08EB2R1.486602	14180	33.655980795173299
534.538769	14172	56.918031887160069
ME14Sep10EB1R1.486601	14171	30.655226209048365
W.2.2.S.E.5.479819	14160	74.486060598869187
P.C.0.2.414751	14155	43.814819108427933
ELB6.111810.2.608805	14151	39.991231756212478
B.C.14.2.414786	14135	46.673965175685538
T.3.2.S.E.2.479773	14098	73.24534778602218
1910T.486471	14062	26.96698201584195
SBS3.OM2C0.MIN.414833	14054	32.395073193075362
715.538563	14046	49.696897834561057
747.538597	14034	51.592986490370798
CL3.2.378520	14011	42.338094837182759
B.Ac.2.2.414750	14005	53.620931319109175
636.538671	13997	55.252734817050161
KH63.488311	13993	29.390494764789203
HR1.414854	13991	33.59983722516786
I.Fundao.HB.488596	13989	35.27940090707731
TBE16July07.618606	13978	63.920588176601221
N.1.2.S.E.4.479765	13969	54.984967867092038
N.1.1.H.E.1.479708	13954	76.438267226143097
SBS2.REF.ORG.414818	13937	46.228909912691954
FRX7.120710.1.608883	13884	46.069079894502863
540.538756	13870	51.896806278654125
Stillton7R2.603126	13866	54.482751542148641
T.3.1.H.E.4.479649	13848	67.779388229610177
NSBE07Aug07.618587	13833	59.00769408247816
W.2.3.H.E.4.479937	13822	77.990883371519431
PLRP14.150.589040	13821	56.658319835818958
N.1.2.S.E.3.479640	13813	60.900609479476906
754.538803	13802	50.099434205366641
W.3.2.H.E.2.479868	13793	75.304511775221741
T.3.1.H.E.1.479880	13783	65.268618380779884
VAN20.120210.1.608873	13765	43.669061473451023
424.538676	13737	49.338125609312051
N.1.3.S.E.5.479908	13731	67.313854030774607
595.538541	13715	63.511340897787335
T.3.2.S.E.3.479740	13689	74.617117232674715
BbA.479896	13657	52.219028925271225
TBE02Aug07.618859	13620	65.553055653083604
402.538596	13607	50.876030992251941
N.2.3.S.E.2.479756	13595	79.294540918253887
SV1.4.378528	13592	54.12558629271561
Lb226.479843	13586	50.110322998013032
B.C.7.1.414810	13573	49.681416752362892
458.538690	13553	51.164955617616592
NSBE11June09.617768	13527	48.562900036371694
720.538664	13489	47.023418691179693
SBS1.OM2C0.MIN.414814	13488	36.529495847481655
N.3.2.S.E.2.479627	13485	67.509766680563928
W.3.1.S.E.2.479623	13482	76.463732240014437
UT.15.42.414609	13459	55.888533056543586
ME20Nov02EB1R1.486674	13445	18.727641109922693
535.538669	13441	56.956454839206025
HI.20.11a.414613	13440	48.698359110390108
T.2.3.S.E.4.479569	13438	75.771534728541099
BbC.479806	13426	46.088155922038979
B.Ac.2.1.414789	13413	55.441123246258329
T.3.3.S.E.3.479774	13410	75.507701946550867
825.538747	13408	42.000455166135644
409.538765	13406	50.697185904168627
NSB28jul08H.617877	13377	51.475132851887174
AQC1cm.1.378562	13368	58.288298157209283
574.538810	13368	60.422287390029325
610.538797	13352	45.594578745031598
ME20Oct02EB1R1.486613	13344	15.552657902257788
372.538540	13327	56.543444030918977
IC2.S3.L3.608740	13318	31.24045343318808
ME26Oct09EB2R1.486679	13315	18.887995707780021
Halls10R1.603166	13305	61.673271686481726
P.C.14.1.414773	13302	39.748250836758729
653.538576	13293	61.883157374158728
P.Ac.21.1.414759	13285	36.532259640756017
T.2.2.H.P.4.479755	13276	70.678851498908074
T.2.3.H.E.1.479905	13261	72.340680345106762
Halls1R2.603182	13258	52.550158495150235
SV1.3.378663	13254	53.279866150180958
ME27Sep07EB1R2.486604	13243	26.07595296660174
B.N.7.2.414805	13241	48.934952391141543
VAN45.120210.1.608807	13236	37.018820577164369
CHA12.414583	13221	59.227920629697529
MAH09Oct05.618765	13216	71.569683562566127
641.538771	13216	54.800393590104022
MAH08Aug07.618792	13192	74.217940830614211
SSBE24July07.618153	13191	57.549415506730959
P.Abraao.SA.1.4.488586	13162	34.493397207295622
T.2.2.H.E.4.479648	13148	69.93241068554876
509.538729	13139	63.520255697320891
ME27Jun03EB1R1.486633	13130	15.300214854981709
ME17Aug10EB1R1.486617	13114	34.114661059359214
T.3.1.H.P.5.479903	13101	70.054482792202521
SV1.2.378577	13095	53.553432542017475
ME02Aug05EB2R2.486671	13093	22.042312471519679
P.Ac.7.1.414802	13089	38.175743935044004
CHD9.414564	13087	36.160097230827894
N.2.1.S.E.2.479821	13081	80.481840735318045
W.1.3.S.E.1.479717	13081	80.144190256234211
N.2.1.S.E.5.479687	13077	66.928829939747558
N.1.3.S.E.2.479887	13057	68.489051170606714
Stillton8R1.603163	13053	61.373221228429699
T.3.3.S.E.1.479659	13047	77.614109254243999
500.538573	13045	54.059799275160302
I.Fundao.SB.7.8.488612	12983	37.509657013973509
ME06Nov01EB1R1.486653	12974	16.838669300904392
HKH08Aug07.618178	12974	71.102700268065348
PLRP1.50.589050	12969	53.038707769835966
HJRA2.413975	12961	25.013325452405706
Lu225.479575	12953	54.712439164791462
W.3.1.S.E.5.479839	12938	78.970828048559525
635.538645	12921	40.203113805142671
PLRP3.85.589053	12918	52.676590141879174
HCanyon2R2.603138	12908	56.170481693427412
B.C.2.2.414791	12901	50.248153104764413
537.538693	12853	57.251376402536756
ME19Jan11EB1R1.486651	12852	13.207823413399018
ME26Sep01EB2R1.486628	12842	21.744825779407911
405.538788	12841	46.597662068031717
HR3.414837	12841	33.326066894832834
P.C.0.1.414806	12841	42.041193692536858
T.2.2.H.P.5.479915	12822	75.714279104415454
606.538767	12811	61.845645962215997
W.3.2.S.E.1.479639	12804	75.547985864156104
W.1.2.S.E.1.479857	12803	80.325988870506848
523.538691	12796	61.65262963541592
FBH10Sept07.618053	12792	60.333764825245773
W.3.2.S.E.5.479698	12786	76.758609101231727
N.3.1.S.E.4.479877	12775	80.320416681199362
362.538778	12768	48.929496636888516
730.538672	12767	44.406751515295291
VAN20.120210.2.608806	12766	40.43349462338179
596.538544	12761	64.654103800162773
B.Ac.7.2.414774	12751	49.4635042835611
Stillton0R2.603159	12713	43.531014833854634
Halls7R2.603197	12695	52.915370255133787
T.3.2.S.E.5.479670	12683	76.417254526566552
