	PD_whole_tree	chao1	observed_otus	shannon
846.fagna24102011soil12a1	0.0372138449791	3155.80582524	1924.0	9.50781102112
846.fagna24102011soil14b1	0.0338075458131	2994.81153846	1697.0	9.00125898217
846.fagna24102011soil14b2	0.0374998317219	3056.73413897	1946.0	9.52520328749
846.fagna24102011soil14c2	0.0375575878406	3055.49526814	1893.0	9.42301521768
846.fagna24102011soil14b4	0.0353213694919	2747.8125	1751.0	9.08221484644
846.fagna24102011soil15a2	0.0369245715621	3306.7	1897.0	9.40120676629
846.fagna24102011soil4c1	0.035036598854	2915.65286624	1820.0	9.33098546641
846.fagna24102011soil12a3	0.0360703199216	2876.44954128	1837.0	9.23903510922
846.fagna24102011soil4a4	0.0313414659125	2441.2804878	1475.0	8.32435700493
846.fagna24102011soil12b1	0.0329705359164	2705.62773723	1653.0	9.06053714587
861.u10.jul09	0.0193990889616	1495.5	802.0	6.26761761201
861.xs.dec08	0.0370114610157	2298.91322314	1403.0	8.08511951344
861.cs.dec08	0.0376389463215	2461.53358209	1572.0	8.78732577298
861.h4.jul09	0.0304531066071	1963.74770642	1164.0	6.89044206168
861.c4.mar09	0.0142435310461	761.0	493.0	6.20626658933
861.c17.dec08	0.0130902665131	661.5	393.0	5.29131032676
861.c4.jul09	0.0129746620929	742.448275862	449.0	6.10387098528
861.c15.dec08	0.015659002685	600.8	407.0	5.47929013536
861.h4.mar09	0.029533589489	1990.83333333	1058.0	6.23860417449
861.h10.4.jul09	0.0379358141894	3096.08108108	1505.0	8.03576037706
861.x60.dec08	0.0115689866576	512.840909091	298.0	4.11540840031
861.x70.jul09	0.0115767725653	505.023255814	307.0	4.42354343935
861.c18.jul09	0.017582171525	861.259259259	516.0	5.26288369247
861.h10.mar09	0.0277935454818	1772.76506024	963.0	6.56875065797
861.x52.jul09	0.00934132004371	352.790697674	233.0	2.80229691622
861.x10.mar09	0.0314127090953	2280.72727273	1155.0	7.72599417033
861.u80.jul09	0.0102112498644	463.454545455	299.0	4.20343369967
861.u70.jul09	0.0122841591535	490.528301887	399.0	6.03690271276
861.x83.dec08	0.00796129626698	366.5	212.0	2.89572183212
861.c13.5.jul09	0.0135973787075	597.3	416.0	5.35176984491
861.x10.jul09	0.0102258643961	565.396226415	346.0	4.49502438623
864.otc.r.6.2009a.lane2.noindex	0.0352485131088	3237.54145078	2116.0	9.60055631174
864.lsfs2control.lane2.noindex	0.0366004530171	3705.34751773	2333.0	9.82296732667
864.6.con.addv.addg.now.b.lane2.noindex	0.0314189137121	2733.62376238	1332.0	7.03952268057
864.rp003.otc.lane2.noindex	0.0368126225476	3450.75362319	2193.0	9.61216960739
864.otc.noppt.15.2009b.lane2.noindex	0.0336569828092	3271.5	2104.0	9.6409424154
864.lsfs1.otc.lane2.noindex	0.0362132813836	3632.81617647	2283.0	9.81969437375
864.13.con.addv.nog.now.lane2.noindex	0.0320864489329	3157.5	1737.0	7.37899826591
864.2.otc.addv.nog.now.lane2.noindex	0.0221278404279	1983.88235294	1188.0	6.347860504
864.2.con.addv.nog.now.a.lane2.noindex	0.0231530168519	2431.12334802	1387.0	7.459806827
864.lsfs4.otc.lane2.noindex	0.0361162589044	3526.42964824	2236.0	9.76757025649
864.lsfs.otc.lane2.noindex	0.0366203326094	3622.10663507	2327.0	9.82931444985
864.osc.6.2009a.lane2.noindex	0.037474786343	3569.72817955	2261.0	9.82935135385
864.2.c.nog.addv.2010a.lane2.noindex	0.028593565226	2853.73913043	1577.0	7.39335259642
864.3.otc.nog.nov.2010a.lane2.noindex	0.0237971943496	2325.09012876	1257.0	5.23474030325
864.osc.2.2009a.lane2.noindex	0.0361453532389	3617.68911917	2218.0	9.67256168577
864.4.otc.addv.nog.now.3.lane2.noindex	0.032016077942	3066.38485804	1912.0	9.15524195854
864.con.v.2.2009a.lane2.noindex	0.0351041228122	3323.37974684	2094.0	9.23465229812
864.con.r.6.2009a.lane2.noindex	0.0334184986126	3236.71666667	2029.0	9.38219100391
864.r001control.lane2.noindex	0.0379912373721	3616.73115578	2233.0	9.69707559991
864.con.v.6.2009a.lane2.noindex	0.035930482041	3489.93846154	2186.0	9.5861646488
864.3.otc.addg.nov.2010a.lane2.noindex	0.0217312377768	2095.26315789	1186.0	6.61325495976
864.7.otc.addv.nog.now.lane2.noindex	0.028223348151	2595.23214286	1358.0	7.76295000418
864.6.otc.addv.addg.now.lane2.noindex	0.0195649755962	1560.92	893.0	5.03588895963
864.2.otc.nog.nov.2010a.lane2.noindex	0.0304795382747	2970.12720848	1671.0	7.95539347806
864.osc.4.2009a.lane2.noindex	0.034159315676	3161.64035088	1984.0	9.14301058238
864.nfs3control.lane2.noindex	0.0369188633146	3517.62962963	2257.0	9.84367042497
864.otc.r.4.2009a.lane2.noindex	0.0328176080671	3158.57014925	1959.0	9.11947524403
864.4.otc.addv.addg.now.2.lane2.noindex	0.0306755013461	2723.136	1873.0	9.17066622705
864.otc.v.2.2009a.lane2.noindex	0.0352771855294	3553.09482759	2112.0	9.3602983859
864.con.r.2.2009a.lane2.noindex	0.035671079422	3611.11842105	2148.0	9.19188604635
864.con.r.4.2009a.lane2.noindex	0.0344513155789	3373.42010309	2132.0	9.43336706045
864.lsfs4control.lane2.noindex	0.0340031720625	3160.43977591	2007.0	9.36344728722
864.6.c.addg.nov.2010a.lane2.noindex	0.0316710728841	3255.20766773	1763.0	7.83375911605
864.r06control.lane2.noindex	0.0339749357378	3080.66086957	1990.0	9.53615497495
864.lfsf3.otc.lane2.noindex	0.0351055303738	3492.47383721	2115.0	9.40568831296
864.6.otc.nog.nov.2010a.lane2.noindex	0.0317034503473	3066.00303951	1850.0	8.44897689959
864.2.con.addv.nog.now.2.lane2.noindex	0.0317693540142	2782.31355932	1884.0	9.28680177952
864.2.otc.addg.addv.2010a.lane2.noindex	0.0255214573571	2770.59459459	1388.0	7.03516287052
864.6.otc.nog.addv.2010a.lane2.noindex	0.0264849315261	2667.87769784	1460.0	6.29386741447
864.rn01control.lane2.noindex	0.0382805320621	3678.91770574	2266.0	9.72656895305
864.3.con.addv.addg.now.b.lane2.noindex	0.0189444075518	1845.9375	898.0	5.43720329655
864.otc.r.2.2009a.lane2.noindex	0.0323513116147	2975.6547619	1884.0	8.97514810854
864.2.con.addv.addg.now.2.lane2.noindex	0.0344788888959	3310.59365994	2063.0	9.58260233035
864.nfs3.lane2.noindex	0.0370272810158	3599.63569682	2329.0	10.0634962351
864.8.con.addv.addg.now.b.lane2.noindex	0.0272030538741	2090.87692308	1157.0	6.42762489459
864.2.otc.addg.nov.2010a.lane2.noindex	0.0265141960444	2726.9765625	1491.0	7.10521373466
864.1.con.addv.addg.now.a.lane2.noindex	0.014920486648	1452.29032258	645.0	4.13759884563
864.6.c.nog.addv.2010a.lane2.noindex	0.0254673743716	2801.73417722	1409.0	6.42341298156
864.6.c.nog.nov.2010a.lane2.noindex	0.0308450469319	3386.98381877	1825.0	7.8548310957
864.3.c.nog.addv.2010a.lane2.noindex	0.026290287379	2313.76868327	1413.0	6.32362697625
864.4.otc.addv.nog.now.1.lane2.noindex	0.0184183765943	1770.14375	917.0	5.48829219928
864.otc.addppt.15.2009b.lane2.noindex	0.0371643285915	3646.41686183	2297.0	9.76968664137
864.nfs004control.lane2.noindex	0.0373208905735	3792.11662531	2365.0	10.0242734604
864.sfs1.2010.otc.et.b.lane2.noindex	0.031086612164	3014.01869159	1882.0	8.83220802176
864.3.c.nog.nov.2010a.lane2.noindex	0.0225311937021	2248.69194313	1161.0	4.83277980279
864.13.c.noh.addv.2010a.lane2.noindex	0.0187327911186	2294.68421053	930.0	4.51555909785
864.nfs002control.lane2.noindex	0.0336565041674	3427.34078212	2120.0	9.68599002602
864.nfs1.2010.otc.et.b.lane2.noindex	0.0265224783215	2464.48160535	1510.0	7.04675411616
864.6.otc.addg.nov.2010a.lane2.noindex	0.0317860603881	3535.1483871	1829.0	7.74985048351
864.13.otc.noh.nov.2010a.lane2.noindex	0.0247193174068	2535.55813953	1391.0	6.26690001853
864.2.c.nog.nov.2010a.lane2.noindex	0.0301373696131	2862.5	1681.0	8.05247769364
864.3.c.addg.addv.2010a.lane2.noindex	0.0265420849106	2654.21259843	1421.0	6.31022355493
864.12.otc.noh.nov.2010a.lane2.noindex	0.0221615190879	2398.48148148	1177.0	5.43280434502
864.15.c.addh.addva.lane2.noindex	0.0190694217165	1842.45762712	955.0	5.22547584168
864.con.noppt.13.2009b.lane2.noindex	0.0362077291379	3624.87688442	2270.0	9.70581342678
864.15.otc.h.va.1.lane2.noindex	0.0259925437737	2800.4375	1552.0	7.59052482332
864.12.c.addh.nov.2010b.lane2.noindex	0.0231074430551	2245.87096774	1182.0	5.7994232467
864.2.c.addg.nov.2010a.lane2.noindex	0.0280937142059	2799.96485623	1658.0	7.66690286997
864.nfs3.2010.otc.et.b.lane2.noindex	0.0257182288014	2461.38652482	1444.0	7.10580907281
864.15.otc.noh.nova.lane2.noindex	0.0257346586267	2720.5	1513.0	7.17735580913
864.4.otc.addg.nov.2010a.lane2.noindex	0.0294887815192	2778.81818182	1711.0	7.95415359099
864.rp003control.lane2.noindex	0.0374306342899	3469.00652174	2299.0	9.75847512384
864.13.c.addh.nov.2010a.lane2.noindex	0.0229404927719	2275.54545455	1216.0	6.44416477606
864.6.con.addv.addg.now.a.lane2.noindex	0.0293438203979	3242.03071672	1818.0	8.29729188719
864.rip4.2010.otc.et.b.lane2.noindex	0.0291519807376	3064.65743945	1705.0	7.78613306268
864.nfs004.lane2.noindex	0.0318211927011	3164.28080229	1987.0	9.4806341767
864.con.noppt.15.2009b.lane2.noindex	0.0369566653856	3846.57534247	2265.0	9.72581850585
