#Sample	Metric	NSTI
1024.DPOO1.C1.HA.2.232.rhizo.9.11.G1.L00	Weighted NSTI	0.222521502271
1024.RU006.C181.RH.1.377.rhizo.9.11.G1.L00	Weighted NSTI	0.199823644715
1024.SH007.C6.RH.3.91.root.6.11.G1.L00	Weighted NSTI	0.214427149318
1024.DPOO1.C1.HA.2.26.rhizo.6.11.G1.L00	Weighted NSTI	0.217771569034
1024.HE003.C181.HA.3.129.bulk.6.11.G1.L00	Weighted NSTI	0.206433745743
1024.SH007.C6.RH.3.313.bulk.9.11.G1.L00	Weighted NSTI	0.200569090137
1024.DPOO1.C1.HA.4.34.rhizo.6.11.G1.L00	Weighted NSTI	0.219490885675
1024.DPOO1.C1.HA.2.233.root.9.11.G1.L00	Weighted NSTI	0.20473337122
1024.DPOO1.C1.HA.5.39.root.6.11.G1.L00	Weighted NSTI	0.228463121751
1024.HE003.C181.HA.5.138.rhizo.6.11.G1.L00	Weighted NSTI	0.227569194775
1024.RU006.C181.RH.3.387.rhizo.9.11.G1.L00	Weighted NSTI	0.205477264787
1024.SH004.C1.RH.3.11.root.6.11.G1.L00	Weighted NSTI	0.225114990071
1024.RU006.C181.RH.5.596.bulk.4.12.G1.L00	Weighted NSTI	0.199943568308
1024.SH005.C3.RH.3.50.rhizo.6.11.G1.L00	Weighted NSTI	0.228138354634
1024.HE003.C181.HA.1.121.bulk.6.11.G1.L00	Weighted NSTI	0.212611396805
1024.DPOO1.C1.HA.3.29.bulk.6.11.G1.L00	Weighted NSTI	0.211303817686
1024.SH008.C6.HA.3.111.root.6.11.G1.L00	Weighted NSTI	0.198226757562
1024.SH007.C6.RH.1.83.root.6.11.G1.L00	Weighted NSTI	0.148896752873
1024.SH008.C6.HA.5.119.root.6.11.G1.L00	Weighted NSTI	0.159652713078
1024.RU006.C181.RH.5.159.root.6.11.G1.L00	Weighted NSTI	0.21433103208
1024.SH005.C3.RH.2.47.root.6.11.G1.L00	Weighted NSTI	0.225989625023
1024.RU006.C181.RH.3.198.flw.6.11.G1.L00	Weighted NSTI	0.19702503489
1024.RU006.C181.RH.4.591.bulk.4.12.G1.L00	Weighted NSTI	0.183309737648
1024.SH008.C6.HA.1.102.rhizo.6.11.G1.L00	Weighted NSTI	0.213288664608
1024.RU006.C181.RH.2.381.bulk.9.11.G1.L00	Weighted NSTI	0.17347413085
1024.DPOO1.C1.HA.3.30.rhizo.6.11.G1.L00	Weighted NSTI	0.239196975101
1024.DPOO1.C1.HA.5.38.rhizo.6.11.G1.L00	Weighted NSTI	0.231804274088
1024.SH007.C6.RH.2.86.rhizo.6.11.G1.L00	Weighted NSTI	0.223370096428
1024.HE003.C181.HA.2.126.rhizo.6.11.G1.L00	Weighted NSTI	0.229551105081
1024.SH005.C3.RH.2.46.rhizo.6.11.G1.L00	Weighted NSTI	0.240471212282
1024.SH004.C1.RH.1.2.rhizo.6.11.G1.L00	Weighted NSTI	0.241267213685
1024.HE003.C181.HA.4.134.rhizo.6.11.G1.L00	Weighted NSTI	0.224865976285
1024.HE003.C181.HA.1.122.rhizo.6.11.G1.L00	Weighted NSTI	0.239683877814
1024.HE003.C181.HA.2.556.bulk.4.12.G1.L00	Weighted NSTI	0.170934562738
1024.SH004.C1.RH.4.164.flw.6.11.G1.L00	Weighted NSTI	0.17628235134
1024.RU006.C181.RH.5.200.flw.6.11.G1.L00	Weighted NSTI	0.171870554302
1024.RU006.C181.RH.2.146.rhizo.6.11.G1.L00	Weighted NSTI	0.222456201314
1024.RU006.C181.RH.4.393.root.9.11.G1.L00	Weighted NSTI	0.203963964778
1024.SH005.C3.RH.4.174.flw.6.11.G1.L00	Weighted NSTI	0.140584769461
1024.MU002.C3.HA.2.177.flw.6.11.G1.L00	Weighted NSTI	0.0820386605645
1024.SH004.C1.RH.2.162.flw.6.11.G1.L00	Weighted NSTI	0.225132446888
1024.MU002.C3.HA.1.176.flw.6.11.G1.L00	Weighted NSTI	0.0664454024789
1024.SH008.C6.HA.1.186.flw.6.11.G1.L00	Weighted NSTI	0.217088926533
1024.DPOO1.C1.HA.3.168.flw.6.11.G1.L00	Weighted NSTI	0.32928890691
1024.HE003.C181.HA.1.191.flw.6.11.G1.L00	Weighted NSTI	0.138907710509
1024.DPOO1.C1.HA.5.170.flw.6.11.G1.L00	Weighted NSTI	0.227678856221
1024.SH008.C6.HA.4.189.flw.6.11.G1.L00	Weighted NSTI	0.22208259739
1024.HE003.C181.HA.5.195.flw.6.11.G1.L00	Weighted NSTI	0.102698501708
1024.DPOO1.C1.HA.4.169.flw.6.11.G1.L00	Weighted NSTI	0.177163472084
1024.SH005.C3.RH.3.173.flw.6.11.G1.L00	Weighted NSTI	0.24902073269
1024.SH007.C6.RH.2.182.flw.6.11.G1.L00	Weighted NSTI	0.252445995112
1024.HE003.C181.HA.2.192.flw.6.11.G1.L00	Weighted NSTI	0.0574528703094
1024.MU002.C3.HA.5.180.flw.6.11.G1.L00	Weighted NSTI	0.075236236898
1024.HE003.C181.HA.3.193.flw.6.11.G1.L00	Weighted NSTI	0.0703884005473
1024.HE003.C181.HA.4.194.flw.6.11.G1.L00	Weighted NSTI	0.0894606534431
1024.SH008.C6.HA.2.187.flw.6.11.G1.L00	Weighted NSTI	0.14787789431
1024.SH005.C3.RH.1.171.flw.6.11.G1.L00	Weighted NSTI	0.320807803227
1024.DPOO1.C1.HA.1.166.flw.6.11.G1.L00	Weighted NSTI	0.199917985658
1024.SH004.C1.RH.3.163.flw.6.11.G1.L00	Weighted NSTI	0.352612025396
1024.SH004.C1.RH.5.165.flw.6.11.G1.L00	Weighted NSTI	0.177243555017
1024.SH007.C6.RH.4.184.flw.6.11.G1.L00	Weighted NSTI	0.251470593537
1024.SH005.C3.RH.5.175.flw.6.11.G1.L00	Weighted NSTI	0.0754628655212
1024.SH007.C6.RH.1.181.flw.6.11.G1.L00	Weighted NSTI	0.235487186875
1024.SH007.C6.RH.5.185.flw.6.11.G1.L00	Weighted NSTI	0.176507916372
1024.MU002.C3.HA.4.179.flw.6.11.G1.L00	Weighted NSTI	0.0972083463369
1024.SH007.C6.RH.3.183.flw.6.11.G1.L00	Weighted NSTI	0.121137172521
1024.RU006.C181.RH.4.199.flw.6.11.G1.L00	Weighted NSTI	0.192806404096
1024.SH004.C1.RH.1.161.flw.6.11.G1.L00	Weighted NSTI	0.256546014718
1024.SH005.C3.RH.2.172.flw.6.11.G1.L00	Weighted NSTI	0.350270881085
1024.SH008.C6.HA.3.188.flw.6.11.G1.L00	Weighted NSTI	0.28257229565
1024.MU002.C3.HA.3.178.flw.6.11.G1.L00	Weighted NSTI	0.187427151803
1024.DPOO1.C1.HA.2.167.flw.6.11.G1.L00	Weighted NSTI	0.111134548931
1024.RU006.C181.RH.1.196.flw.6.11.G1.L00	Weighted NSTI	0.283475851142
1024.RU006.C181.RH.2.197.flw.6.11.G1.L00	Weighted NSTI	0.144393028954
1024.MU002.C3.HA.1.276.bulk.9.11.G1.L00	Weighted NSTI	0.26271
1024.HE003.C181.HA.1.354.leav.9.11.Gilbert.Merlot.miseq.S0.L001.001	Weighted NSTI	0.27602
1024.RU006.C181.RH.4.395.gp.9.11.Gilbert.Merlot.miseq.S0.L001.001	Weighted NSTI	0.27602
1030.TVF.2004.Loc3.D10.Rep1	Weighted NSTI	0.157375849182
1030.TVF.Control.Loc4.D0.Rep5	Weighted NSTI	0.125579138098
1030.TVF.2004.Loc3.D10.Rep2	Weighted NSTI	0.158864085886
1030.TVF.Control.Loc2.D0.Rep2	Weighted NSTI	0.137806573387
1030.TVF.2010.Loc1.D10.Rep1	Weighted NSTI	0.179098769672
1030.TVF.Control.Loc2.D0.Rep3	Weighted NSTI	0.14848654373
1030.TVF.2010.Loc3.D10.Rep3	Weighted NSTI	0.165091351977
1030.TVF.2004.Loc2.D0.Rep3	Weighted NSTI	0.166008644248
1030.TVF.2010.Loc3.D10.Rep5	Weighted NSTI	0.18980117621
1030.TVF.Control.Loc4.D0.Rep3	Weighted NSTI	0.121829664344
1030.TVF.2010.Loc5.D10.Rep4	Weighted NSTI	0.161312274885
1030.TVF.Control.Loc4.D0.Rep2	Weighted NSTI	0.123045437477
1030.TVF.Control.Loc3.D10.Rep2	Weighted NSTI	0.166036703205
1030.TVF.2004.Loc2.D0.Rep2	Weighted NSTI	0.164753810698
1030.TVF.Control.Loc5.D10.Rep1	Weighted NSTI	0.154553140945
1030.TVF.Control.Loc4.D0.Rep1	Weighted NSTI	0.134889934153
1030.TVF.Control.Loc5.D10.Rep4	Weighted NSTI	0.163048922446
1030.TVF.2004.Loc1.D10.Rep1	Weighted NSTI	0.151228689453
1030.TVF.2010.Loc4.D10.Rep4	Weighted NSTI	0.156841334382
1030.TVF.2004.Loc4.D10.Rep5	Weighted NSTI	0.153445999043
1030.TVF.2004.Loc3.D10.Rep3	Weighted NSTI	0.150140649373
1030.TVF.2004.Loc3.D0.Rep1	Weighted NSTI	0.172793074343
1030.TVF.2004.Loc1.D10.Rep5	Weighted NSTI	0.16385761153
1030.TVF.2004.Loc4.D10.Rep2	Weighted NSTI	0.153165419842
1030.TVF.2010.Loc1.D10.Rep5	Weighted NSTI	0.169610687546
1030.TVF.2004.Loc2.D0.Rep5	Weighted NSTI	0.156862624969
1030.TVF.2010.Loc1.D10.Rep3	Weighted NSTI	0.168012699687
1030.TVF.2004.Loc4.D10.Rep3	Weighted NSTI	0.159496947395
1030.TVF.2010.Loc4.D10.Rep3	Weighted NSTI	0.157318058802
1030.TVF.2010.Loc3.D0.Rep1	Weighted NSTI	0.140747141014
1030.TVF.2010.Loc3.D0.Rep4	Weighted NSTI	0.124494284986
1030.TVF.2004.Loc2.D0.Rep4	Weighted NSTI	0.149640120474
1030.TVF.Control.Loc2.D0.Rep5	Weighted NSTI	0.149039434783
1030.TVF.2004.Loc5.D10.Rep4	Weighted NSTI	0.164374435681
1030.TVF.Control.Loc2.D10.Rep3	Weighted NSTI	0.153451018013
1030.TVF.2004.Loc3.D0.Rep5	Weighted NSTI	0.155621786012
1030.TVF.2004.Loc1.D0.Rep1	Weighted NSTI	0.14905985111
1030.TVF.2004.Loc1.D0.Rep3	Weighted NSTI	0.144910037018
1030.TVF.2010.Loc5.D10.Rep1	Weighted NSTI	0.167084109638
1030.TVF.2004.Loc4.D0.Rep5	Weighted NSTI	0.148636426831
1030.TVF.2004.Loc1.D10.Rep4	Weighted NSTI	0.150296384596
1030.TVF.2004.Loc4.D0.Rep1	Weighted NSTI	0.141813824107
1030.TVF.2004.Loc4.D0.Rep3	Weighted NSTI	0.136189117186
1030.TVF.2010.Loc4.D10.Rep5	Weighted NSTI	0.155599234769
1030.TVF.2004.Loc4.D0.Rep2	Weighted NSTI	0.139754809787
1030.TVF.2004.Loc3.D0.Rep4	Weighted NSTI	0.151030669639
1030.TVF.2010.Loc1.D10.Rep2	Weighted NSTI	0.164929679171
1030.TVF.2010.Loc5.D10.Rep3	Weighted NSTI	0.150774152718
1030.TVF.2004.Loc4.D0.Rep4	Weighted NSTI	0.152517751931
1030.TVF.2004.Loc1.D0.Rep2	Weighted NSTI	0.128494710355
1030.TVF.2010.Loc5.D0.Rep5	Weighted NSTI	0.125881051136
1030.TVF.Control.Loc3.D0.Rep5	Weighted NSTI	0.104236876929
1030.TVF.2004.Loc1.D0.Rep4	Weighted NSTI	0.131084673042
1030.TVF.2010.Loc5.D10.Rep2	Weighted NSTI	0.168012076414
1030.TVF.2004.Loc1.D10.Rep3	Weighted NSTI	0.15307968599
1030.TVF.2010.Loc5.D10.Rep5	Weighted NSTI	0.163243576144
