	num_children	level	max_width	name
119	207	4	1.19448396413	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales
120	2	6	0.1196977	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__N09
121	30	2	2.0931775243099997	k__Bacteria;p__ZB3
122	28	6	0.6026274153	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolinaceae;g__C1_B004
123	88	3	1.9270210749000003	k__Bacteria;p__Chloroflexi;c__C0119
124	7	6	0.22054687	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Runella
125	1	6	0.0	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae;g__Tunicatimonas
126	15	4	1.5505262903600001	k__Bacteria;p__SAR406;c__AB16;o__SSW63Au
127	20	6	1.7537635152900002	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Pedomicrobium
128	98	2	2.0931775243099997	k__Bacteria;p__Caldithrix
129	624	4	1.2109225788	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes;o__Dehalococcoidales
130	1	6	0.0	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__[Thermodesulfovibrionaceae];g__Thermodesulfovibrio
131	84	5	1.74116839481	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae
132	1	7	0.0	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma;s__penetrans
133	9	5	2.0931775243099997	k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae
134	166	3	2.0931775243099997	k__Bacteria;p__Armatimonadetes;c__Armatimonadia
135	83	6	0.193038841	k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus
136	1	6	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Defluviitalea
137	9	6	0.11548881	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium
138	3	7	0.67836749764	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae;g__Geobacter;s__lovleyi
139	7	6	1.1604528765499997	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas
140	1	6	0.0	k__Archaea;p__Crenarchaeota;c__Aigarchaeota;o__[Caldiarchales];f__[Caldiarchaceae];g__Candidatus Caldiarchaeum
141	217	6	2.0931775243099997	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus
142	6	5	1.70754930896	k__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales;f__Haloplasmataceae
143				
144	1	7	0.0	k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales;f__Nostocaceae;g__Cylindrospermopsis;s__raciborskii
145	1	7	0.0	k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales;f__Nostocaceae;g__Nodularia;s__harveyana
146	6	5	0.03463364352000001	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Williamsiaceae
147	1	7	0.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Salinivibrio;s__costicola
148	249	4	0.58309154725	k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21
149	21	6	0.509032488	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haloarcula
150	1	6	0.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae;g__Succinatimonas
151	2	6	0.010153972519999999	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Yersinia
152	3	6	0.3371183343	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Thermomonosporaceae;g__Actinoallomurus
153	182	4	2.0931775243099997	k__Bacteria;p__Proteobacteria;c__TA18;o__PHOS-HD29
154	470	4	2.0931775243099997	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__NB1-j
155	35	6	0.42711479367000005	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter
156	1	7	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__[Clostridium];s__difficile
157	7	5	0.9229995611	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfonatronumaceae
158	9	7	0.07359989	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria;g__Azolla;s__pinnata
159	112	6	0.7130762816	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
160	1	7	0.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Roseomonas;s__rosea
161	191	3	2.0931775243099997	k__Bacteria;p__TM7;c__SC3
162	7	7	0.9548069986400002	k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Saprospiraceae;g__Lewinella;s__nigricans
163	896	4	2.0931775243099997	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales
164	142	6	0.6126497427	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia
165	69	4	0.6891613517099999	k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__[Cerasicoccales]
166	13	4	2.0931775243099997	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Tremblayales
167	36	5	0.449110982	k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae];o__Methylacidiphilales;f__LD19
168	1	7	0.0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Blastococcus;s__aggregatus
169	2	7	1.5677157715200003	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Asteroleplasma;s__anaerobium
170	9	6	1.12786770047	k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Saprospiraceae;g__Aquirestis
171	10	6	1.5677157715200003	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Alkaliphilus
172	30	6	0.5280756169799999	k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas
173	14	3	2.0931775243099997	k__Bacteria;p__Deferribacteres;c__Deferribacteres
174	5	7	1.2336012956300002	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__glucosidilyticus
175	55	4	0.34252229040000004	k__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__FW68
176	10	5	1.9270210749000003	k__Bacteria;p__Chloroflexi;c__[Thermobacula];o__[Thermobaculales];f__[Thermobaculaceae]
177	4	6	0.776641863	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Microbulbifer
178	170	3	1.30761476651	k__Bacteria;p__Acidobacteria;c__Acidobacteria-5
179	5	7	0.3807207926	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Alkaliphilus;s__transvaalensis
180	9	3	0.11515752852	k__Archaea;p__Crenarchaeota;c__AAG
181	1	6	0.0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Actinotalea
182	56	6	2.0931775243099997	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__FW;g__4-29
183	285	3	0.6753597475399999	k__Bacteria;p__OP3;c__PBS-25
184	3	4	0.06502443352000001	k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrosocaldales
185	2	7	0.01309561352	k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Spirochaeta;s__africana
186	9	3	1.70754930896	k__Bacteria;p__Armatimonadetes;c__OPB50
187	101	2	2.0931775243099997	k__Bacteria;p__AC1
188	56	5	0.38775842142999994	k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__PAUC26f
189	5	6	0.5458418569999999	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus
190	3	4	0.09642138	k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__AK31
