,Animal surface,Animal corpus,Animal secretion,Animal proximal gut,Animal distal gut,Plant surface,Plant corpus,Plant rhizosphere,Soil (non-saline),Sediment (non-saline),Sediment (saline),Surface (non-saline),Surface (saline),Aerosol (non-saline),Water (non-saline),Water (saline),Intertidal (saline),Hypersaline (saline),Sterile water blank,Mock community
o__VC38(33),0.0012626262626262625,0.0,0.0,0.0,0.0,0.0,0.0,0.41587081205292803,0.042248519944930146,0.378105699595764,0.04342223433132524,0.033911028089110284,0.021907473591376347,0.0,0.031747542929794266,0.031524063202145396,0.0,0.0,0.0,0.0
o__JH-WHS47(26),0.005945745076179859,0.0,0.0007256894049346881,0.0,0.0,0.0,0.0,0.39113759938399717,0.0691658069330539,0.454407523510713,0.008789484835415595,0.006479933110367894,0.0,0.0,0.04466653745872067,0.018681680286617257,0.0,0.0,0.0,0.0
o__RB046(159),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3273111888141715,0.0858890705752247,0.43107501150998917,0.06297768738119518,0.03544723969252272,0.007833923709005038,0.0,0.037474264062126415,0.0119916142557652,0.0,0.0,0.0,0.0
o__Spirobacillales(201),0.023660691120949276,0.007877280265339966,0.0012415721025363674,0.0,0.01099114357291556,0.05572139303482586,0.014260570323185904,0.08427831547402652,0.12534917754221736,0.04965942749085856,0.11144506405700436,0.06849302121610791,0.1704193962315121,0.008393309689706304,0.2091026903469696,0.05910694753184432,0.0,0.0,0.0,0.0
o__SM1D11(90),0.00101010101010101,0.011111111111111112,0.005555555555555556,0.0,0.0,0.0,0.06293891293891293,0.3114562289562289,0.2516582491582492,0.07407407407407407,0.0,0.08296296296296296,0.044444444444444446,0.0,0.1381216931216931,0.016666666666666666,0.0,0.0,0.0,0.0
o__NB1-j(470),0.0025572841589452657,0.0019503546099290778,0.0010662242311951613,0.00014294353730276538,6.19968372627947e-05,0.011842380592999097,0.0001685980243161094,0.019970809253952327,0.09812282164493699,0.11412023138224488,0.41493471742806093,0.05633532639075252,0.11460511656686681,0.003191489361702127,0.033567153562584065,0.07176092405875,0.0,0.055601628358199075,0.0,0.0
o__Nitrososphaerales(118),0.027950490397440363,0.0006365163767955393,0.018106229943246493,0.010756253827041463,0.00023662041223813737,0.045072670462668836,0.006267482556383732,0.13942658150840967,0.4452309279743253,0.019569381156205556,0.03334494103990187,0.0843524243786638,0.002357962015135074,0.11535651483482824,0.01672748745372205,0.03460751566299381,0.0,0.0,0.0,0.0
o__258ds10(69),0.040418679549114336,0.0003813882532418002,0.019948849104859338,0.0,0.0,0.00036231884057971026,0.023074737141233308,0.2627049910499904,0.3583962152797125,0.06177065009343916,0.017687383584543366,0.030804272852327785,0.048420009518407706,0.004171311780007432,0.12588411031842184,0.005975082634121536,0.0,0.0,0.0,0.0
o__Rhodocyclales(104),0.06723243927965751,0.005622192240980494,0.010498721885565138,0.051892078568294524,0.0018739313702321463,0.0025328645854087012,0.007316580422974907,0.1417334939458209,0.144737877410838,0.12743555710219934,0.07566280408909917,0.1049277118940899,0.03477191919673358,0.05988472724617289,0.1157441015946762,0.04813299916725667,0.0,0.0,0.0,0.0
o__DH61(142),0.00963822148577741,0.010776781903542467,0.0032276995305164317,0.0,0.0,0.010688372660203647,0.0,0.10890212038720738,0.1836831492571715,0.13275342858914269,0.1351705622003882,0.10709768476245635,0.05689332764547747,0.0035211267605633804,0.21332657452918571,0.017278696767240607,0.0,0.007042253521126761,0.0,0.0
