,Animal surface,Animal corpus,Animal secretion,Animal proximal gut,Animal distal gut,Plant surface,Plant corpus,Plant rhizosphere,Soil (non-saline),Sediment (non-saline),Sediment (saline),Surface (non-saline),Surface (saline),Aerosol (non-saline),Water (non-saline),Water (saline),Intertidal (saline),Hypersaline (saline),Sterile water blank,Mock community
f__Sphingobacteriaceae(271),0.2418193412038258,0.024821719871276435,0.051284538911573786,0.0068061968826282244,0.038421385094461406,0.012134217313621902,0.035136711524768514,0.07866147680743117,0.21370352307156268,0.013339826002547068,0.016144000469403345,0.06729054967651224,0.013066804202356782,0.1064416587819082,0.06528350199567214,0.01564454819045012,0.0,0.0,0.0,0.0
f__[Fimbriimonadaceae](274),0.01958820056879987,0.0,0.010659593457052433,0.0,0.000875912408759124,0.0,0.044936159998713227,0.2619862601632364,0.22082322544074395,0.15824756944433058,0.02103675578183014,0.09109253254868202,0.046856688547952566,0.0062712895377128935,0.11223969802417864,0.0053861140780080445,0.0,0.0,0.0,0.0
f__Coxiellaceae(751),0.008815132288848747,0.00200912058258605,0.0071443908940815705,0.002864911681180254,0.011085288262179247,0.002452973223509263,0.005571725408403346,0.23505512940877274,0.31937594557775745,0.0712007822655289,0.052921540429154645,0.07690034958910626,0.03631297583325859,0.010375322017616064,0.13359269277679073,0.023655940799841183,0.0,0.0006657789613848201,0.0,0.0
f__Streptomycetaceae(86),0.1340827431189271,0.004181966544267646,0.019098353706676844,0.012646571554700291,0.01169216500317717,0.017117356566855542,0.015872980701753605,0.17897710348548576,0.29518022006863015,0.016257938741408254,0.04142683826608039,0.02929315299552732,0.0020402180372459835,0.12336744253364525,0.06620151906289555,0.03256342961272332,0.0,0.0,0.0,0.0
f__Nocardioidaceae(246),0.1682749981198439,0.009921174734435337,0.10033935318516753,0.026993929976951717,0.017139910528739363,0.009606083179786526,0.04250683858791846,0.07176513666879918,0.2616726421838942,0.018416802952900768,0.013578474924910908,0.08036532720865443,0.0039605562910170105,0.11049194058281735,0.04870262523214286,0.01622621460790456,0.0,3.7991034115948635e-05,0.0,0.0
f__Pseudonocardiaceae(119),0.1290931829684551,0.009214904393303622,0.04847785389403028,0.017230878269999805,0.01293213874996588,0.012726822330663868,0.039603307051073476,0.10398542231008101,0.2971642000920152,0.009614209261568205,0.02083058891847981,0.05890956741868936,0.009299376121104814,0.14166878208375958,0.060504200394822294,0.028744565741987665,0.0,0.0,0.0,0.0
f__Solirubrobacteraceae(74),0.12977259393263846,0.021836609336609338,0.04333186644526133,0.020838875630756586,0.00794500931571647,0.023428295398697424,0.03363633039185296,0.039218948626668644,0.31351704010357384,0.02255529743250318,0.018194641793382423,0.07308665238885005,0.00791988947929542,0.11683685587142456,0.12053961829958242,0.007341475553186892,0.0,0.0,0.0,0.0
f__Bradyrhizobiaceae(97),0.09968858243230612,0.0016660932007256308,0.018522439374785527,0.03687166428649921,0.028970346967649968,0.04797058900137705,0.03531161369820368,0.08281208710887747,0.27558695627551544,0.032758818191426245,0.004205595755973947,0.05901348598490396,0.02097810518698915,0.1454061741518962,0.10627154433510025,0.003947785808138168,0.0,1.8118239631837368e-05,0.0,0.0
f__Ellin517(157),0.01040473111921464,0.0,0.01670979102438532,5.538631957906397e-05,0.0,0.01734617851473604,0.027548232253300102,0.25667014987026926,0.33841021872779153,0.12353634320391778,0.025052938183103834,0.06542443197559471,0.026500596433316734,0.0322564401351441,0.05834430287871164,0.0017402593609352752,0.0,0.0,0.0,0.0
f__Myxococcaceae(284),0.02985493995468583,0.0035329426221760094,0.0054546324354142126,0.005205377549409662,0.0002515090543259557,0.01656489204574727,0.008092685387368848,0.24709958498202905,0.3022746938300386,0.15962098300507904,0.016903732432495044,0.08735015300451615,0.020066977670007584,0.020044555694867128,0.0659639266215631,0.011366301034220278,0.0,0.00035211267605633805,0.0,0.0
