,Animal surface,Animal corpus,Animal secretion,Animal proximal gut,Animal distal gut,Plant surface,Plant corpus,Plant rhizosphere,Soil (non-saline),Sediment (non-saline),Sediment (saline),Surface (non-saline),Surface (saline),Aerosol (non-saline),Water (non-saline),Water (saline),Intertidal (saline),Hypersaline (saline),Sterile water blank,Mock community
p__[Caldithrix](121),0.008264462809917354,0.0,0.0,0.0,0.0,0.0,0.0,0.0015741833923652102,0.0,0.19133215269578902,0.4973399878358556,0.028020464384100746,0.03955135773317591,0.0,0.07726288862652499,0.10805159028299523,0.0,0.04860291223927587,0.0,0.0
p__LCP-89(69),0.0,0.007246376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.1580745341614907,0.5772946859903382,0.0,0.05555555555555556,0.0,0.07864044168391995,0.10144927536231885,0.0,0.007246376811594203,0.0,0.0
p__H-178(20),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.026212121212121207,0.6232925407925408,0.0,0.04310897435897436,0.0,0.05579545454545455,0.17159090909090907,0.0,0.0,0.0,0.0
p__Caldithrix(98),0.0003924646781789639,0.001943634596695821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07938310713486357,0.605513678628029,0.0,0.039140946689457896,0.0,0.08128318676788064,0.16773980690171952,0.0,0.024603174603174603,0.0,0.0
p__Cyanobacteria(4018),0.04123333943357937,0.013236315388917997,0.009001678557729108,0.029378991342069054,0.023987323781475636,0.04826925418606748,0.010814589633857648,0.07700449298107041,0.07881304465976888,0.06925849222055161,0.05556975030311538,0.12692814867942004,0.10626755510073593,0.033777519876029526,0.16445581259064151,0.10613503207007308,0.0,0.005868659194897415,0.0,0.0
p__Chlamydiae(1216),0.012410930156552251,0.003341390882509303,0.008986526727916047,0.006134476817042604,0.0035662839697282412,0.004523026315789473,0.00929478460911443,0.11550685876529428,0.16666288983335556,0.0798643141020145,0.12084326767644027,0.12354416119612593,0.03982114376851219,0.005294741609458428,0.25756896971921256,0.04167680402637246,0.0,0.0009594298245614032,0.0,0.0
p__TM6(1153),0.008569037766363119,0.005073032393067086,0.0034084077882863655,0.002847643827695866,0.002010383651544158,0.0016315636437058813,0.0093235039028621,0.09852944087714753,0.18018814550680937,0.10230313511834287,0.12327204853223929,0.121502055262789,0.08439661294016873,0.0034258456201214224,0.2184276009739919,0.03400741383406741,0.0,0.0010841283607979184,0.0,0.0
p__FCPU426(45),0.013029100529100529,0.0,0.0,0.0,0.0,0.005502645502645503,0.0,0.2020996078791778,0.25595386891085814,0.2781033781033781,0.06673756351175707,0.023076923076923078,0.022222222222222223,0.0,0.0703034122388961,0.06297127802504146,0.0,0.0,0.0,0.0
p__Bacteroidetes(14218),0.06534581992498578,0.007690215796020465,0.03139945239632031,0.04112675361437912,0.06160925474674489,0.06487951675406516,0.014638321002938633,0.05953375674755741,0.0975165857751912,0.06840532880216162,0.13074532314266205,0.06662805264446336,0.07699671876453716,0.06321911327435246,0.07939180769132897,0.05873527851261747,0.0,0.012138700409673906,0.0,0.0
p__Fibrobacteres(455),0.01157160300017443,5.783689994216309e-05,0.003025210084033613,0.009230769230769228,0.008644688644688644,0.0011538461538461537,0.005697048049989225,0.1936629445990404,0.09286064355520812,0.2359321578730111,0.228741045052922,0.006686069216433588,0.0852043182060533,0.014991546914623836,0.07289702520684385,0.014258631927804855,0.0,0.015384615384615382,0.0,0.0
p__Gemmatimonadetes(2216),0.04172987074134706,0.0020786533477643743,0.026392506268298643,0.0047552244834045635,0.0006921661297816974,0.01245130153356627,0.012985929351355742,0.13856710779658893,0.3622121263212583,0.08242316220287745,0.11047914803586804,0.06696446085467676,0.031389556240783864,0.03402978266412216,0.04916223707383401,0.018794364712649392,0.0,0.004892402241822726,0.0,0.0
p__Elusimicrobia(1379),0.002224266531595257,0.0003625815808556925,0.001063563500111723,7.194078985231993e-05,0.005732242135432853,0.0036007491090865886,0.0003625815808556925,0.21525417763570096,0.1755430339563611,0.29319583842539276,0.08408707504046861,0.03395349232131857,0.0383225425044829,0.0020586576424139872,0.13001223084730937,0.014155026398761643,0.0,0.0,0.0,0.0
p__Nitrospirae(601),0.007324876101947427,0.0004743042268870124,0.00451539160932324,9.24385283786282e-05,0.0008402248325758892,0.008737442196313533,0.005094576655777452,0.20300365386389752,0.1569477127229537,0.22649231769041134,0.15104802804373035,0.030800084529494027,0.0567935511370535,0.010660427045147908,0.09042296305741268,0.04014578255989509,0.0,0.00660622519880079,0.0,0.0
p__Chlorobi(1260),0.0066812949655907835,0.0019476619476619474,0.004601065232294468,0.00015873015873015873,9.798157946306094e-06,0.003668165546820517,0.0013383855643649633,0.2117874818217085,0.13557513363292478,0.27477662817895054,0.12458948314380203,0.05544866224732373,0.0415871967333141,0.0043563843563843565,0.0868284289991794,0.04248832932249999,0.0,0.004157169990503324,0.0,0.0
p__Acidobacteria(6441),0.017001545386987574,0.0034772126496244744,0.007521143383809863,0.0010461591454682154,0.0005361427658371053,0.013345256173025856,0.006159626805431584,0.14657938629742773,0.2971884918014874,0.15240071396523894,0.1424602170214004,0.056424157316778425,0.04575955524327009,0.022262884399076453,0.052710822385082026,0.02963708884860834,0.0,0.005489596411445753,0.0,0.0
p__BRC1(172),0.01935467633142051,0.005813953488372092,0.0021456256921373196,0.002906976744186046,0.0,0.0,0.007751937984496122,0.19236887143863884,0.15259740259740256,0.18429855028692232,0.22499999999999998,0.07147261653075607,0.0609080841638981,0.006342494714587736,0.03415508909694956,0.011627906976744182,0.0,0.02325581395348837,0.0,0.0
